RandomID,Burn-out,Job Satisfaction
1,65.08378638,96
2,57.27396501,126
3,66.64575066,92
4,68.20771493,87
5,69.76967921,74
6,66.64575066,96
7,60.39789356,91
8,63.52182211,95
9,51.02610792,141
10,63.52182211,90
11,60.39789356,99
12,57.27396501,122
13,58.83592929,115
14,51.02610792,122
15,54.15003647,127
16,68.20771493,90
17,57.27396501,121
18,71.33164348,72
19,60.39789356,96
20,54.15003647,111
21,63.52182211,97
22,47.90217937,132
23,66.64575066,94
24,58.83592929,115
25,65.08378638,97
26,52.58807219,119
27,51.02610792,93
28,66.64575066,90
29,61.95985784,92
30,57.27396501,123
31,69.76967921,76
32,52.58807219,138
33,49.46414364,123
34,58.83592929,109
35,55.71200074,122
36,52.58807219,109
37,63.52182211,99
38,47.90217937,149
39,49.46414364,152
40,52.58807219,145
41,51.02610792,154
42,54.15003647,120
43,55.71200074,114
44,54.15003647,109
45,58.83592929,102
46,43.21628655,127
47,60.39789356,95
48,47.90217937,123
49,61.95985784,99
50,65.08378638,94
51,57.27396501,127
52,49.46414364,113
53,61.95985784,92
54,47.90217937,106
55,52.58807219,121
56,47.90217937,156
57,41.65432227,136
58,44.77825082,141
59,51.02610792,100
60,65.08378638,92
61,52.58807219,123
62,49.46414364,129
63,46.3402151,101
64,54.15003647,103
65,51.02610792,97
66,46.3402151,100
67,55.71200074,109
68,55.71200074,119
69,46.3402151,121
70,46.3402151,137
71,49.46414364,149
72,40.092358,158
73,44.77825082,158
74,47.90217937,180
75,58.83592929,129
76,41.65432227,175
77,52.58807219,127
78,60.39789356,102
79,47.90217937,124
80,47.90217937,129
81,57.27396501,104
82,54.15003647,146
83,58.83592929,112
84,55.71200074,134
85,43.21628655,131
86,49.46414364,124
87,58.83592929,114
88,55.71200074,109
89,60.39789356,101
90,51.02610792,171
91,49.46414364,128
92,49.46414364,126
93,46.3402151,138
94,43.21628655,154
95,51.02610792,121
96,40.092358,166
97,52.58807219,129
98,57.27396501,101
99,46.3402151,122
100,40.092358,143
101,43.21628655,149
102,57.27396501,155
103,51.02610792,135
104,58.83592929,122
105,41.65432227,162
106,40.092358,156
107,63.52182211,94
108,43.21628655,152
109,41.65432227,159
110,54.15003647,114
111,46.3402151,118
112,49.46414364,146
113,40.092358,154
114,43.21628655,142
115,52.58807219,134
116,41.65432227,140
117,54.15003647,112
118,36.96842945,170
119,51.02610792,136
120,52.58807219,117
121,41.65432227,146
122,51.02610792,148
123,40.092358,153
124,38.53039373,161
125,47.90217937,102
126,52.58807219,144
127,44.77825082,139
128,49.46414364,141
129,49.46414364,144
130,44.77825082,135
131,57.27396501,145
132,41.65432227,148
133,43.21628655,145
134,44.77825082,115
135,40.092358,170
136,46.3402151,126
137,51.02610792,125
138,33.8445009,201
139,41.65432227,154
140,43.21628655,157
141,40.092358,161
142,38.53039373,151
143,43.21628655,138
144,44.77825082,112
145,46.3402151,121
146,40.092358,142
147,40.092358,167
148,38.53039373,165
149,43.21628655,143
150,41.65432227,127
151,40.092358,149
152,47.90217937,132
153,46.3402151,119
154,43.21628655,126
155,44.77825082,116
156,46.3402151,130
157,54.15003647,121
158,41.65432227,146
159,46.3402151,126
160,44.77825082,124
161,36.96842945,186
162,46.3402151,142
163,33.8445009,202
164,41.65432227,158
165,43.21628655,153
166,36.96842945,188
167,33.8445009,201
168,40.092358,164
169,41.65432227,163
170,32.28253663,203
171,51.02610792,141
172,35.40646518,196
173,38.53039373,169
174,33.8445009,205
175,36.96842945,189
176,43.21628655,148
177,41.65432227,164
178,35.40646518,199
179,51.02610792,115
180,35.40646518,198
181,38.53039373,172
182,40.092358,166
183,49.46414364,147
184,49.46414364,112
185,43.21628655,186
186,41.65432227,153
187,36.96842945,192
188,40.092358,165
189,43.21628655,156
190,40.092358,167
191,40.092358,162
192,30.72057236,206
193,36.96842945,194
194,35.40646518,200
195,30.72057236,198
196,32.28253663,208
197,43.21628655,121
198,33.8445009,207
199,49.46414364,152
200,41.65432227,131
