Employee_ID,Technical_Skills,Communication_Skills,Presentation_Skills
1,7,5,6
2,4,9,7
3,8,1,7
4,5,6,4
5,7,3,8
6,10,1,10
7,3,5,10
8,7,5,9
9,6,4,6
10,5,1,9
11,4,3,6
12,8,2,9
13,6,6,10
14,3,10,5
15,6,6,10
16,3,7,8
17,2,4,10
18,6,5,2
19,4,5,5
20,2,3,10
21,5,7,5
22,1,8,7
23,10,2,2
24,4,7,9
25,9,2,2
26,1,10,6
27,10,1,5
28,3,9,4
29,7,1,7
30,2,6,2
31,7,3,3
32,3,8,6
33,3,7,9
34,3,8,3
35,5,7,10
36,5,3,9
37,9,2,3
38,5,6,5
39,2,9,8
40,4,10,9
41,7,4,1
42,2,10,7
43,10,4,2
44,9,4,3
45,10,1,2
46,3,5,5
47,2,4,10
48,4,8,10
49,7,2,7
50,8,2,2
51,3,8,2
52,1,7,3
53,4,3,10
54,2,10,4
55,6,7,1
56,4,7,6
57,2,10,8
58,4,7,6
59,4,3,1
60,10,1,6
61,4,5,6
62,4,7,6
63,2,7,4
64,8,3,5
65,2,6,8
66,10,1,6
67,4,9,6
68,8,5,6
69,7,5,10
70,7,4,10
71,8,4,4
72,5,7,2
73,2,5,6
74,5,3,10
75,6,4,1
76,8,5,3
77,9,4,5
78,9,2,2
79,1,10,2
80,9,3,9
81,7,1,3
82,7,5,8
83,8,3,8
84,1,10,10
85,6,4,10
86,6,7,2
87,3,6,7
88,1,10,7
89,8,5,4
90,3,8,3
91,3,10,2
92,1,6,7
93,5,1,6
94,8,7,9
95,5,7,1
96,10,1,8
97,9,2,6
98,5,3,5
99,7,6,2
100,6,5,3
101,2,6,8
102,1,2,7
103,5,4,2
104,7,5,7
105,6,3,2
106,3,4,2
107,3,4,3
108,6,7,3
109,6,3,3
110,3,6,5
111,1,7,10
112,3,10,7
113,5,6,2
114,3,1,9
115,1,5,8
116,5,5,10
117,8,7,3
118,5,7,1
119,7,5,6
120,7,4,4
121,10,4,10
122,10,1,9
123,3,6,2
124,5,4,10
125,1,10,2
126,2,7,4
127,4,7,9
128,5,6,6
129,7,4,3
130,7,2,7
131,4,5,6
132,5,7,2
133,3,10,4
134,6,3,10
135,2,10,8
136,10,1,8
137,7,5,6
138,5,5,9
139,6,4,5
140,4,9,9
141,8,4,4
142,7,2,9
143,9,1,10
144,7,4,4
145,1,9,4
146,1,3,3
147,9,3,10
148,9,1,4
149,4,1,4
150,9,3,6
151,3,6,6
152,7,3,3
153,6,1,10
154,8,1,7
155,7,5,5
156,3,7,6
157,1,3,2
158,3,4,6
159,10,2,10
160,8,3,10
161,4,4,2
162,8,1,2
163,7,7,10
164,4,9,10
165,1,10,10
166,1,10,10
167,8,7,9
168,4,2,7
169,7,3,9
170,2,10,2
171,3,8,10
172,1,5,5
173,3,7,1
174,1,6,9
175,8,2,2
176,1,9,4
177,1,5,5
178,2,10,9
179,2,6,7
180,4,6,10
181,7,4,8
182,3,7,8
183,1,6,3
184,1,10,10
185,3,9,9
186,2,4,4
187,5,1,8
188,10,3,4
189,6,4,8
190,7,2,3
191,4,1,10
192,5,4,6
193,6,5,3
194,1,8,4
195,6,5,10
196,8,1,8
197,5,8,6
198,4,8,10
199,2,10,8
200,6,3,10
201,4,6,1
202,1,2,8
203,9,1,7
204,6,4,10
205,3,10,10
206,4,7,2
207,4,4,5
208,3,1,10
209,10,4,5
210,3,10,10
211,3,4,4
212,4,10,10
213,5,4,2
214,4,5,5
215,9,3,7
216,1,10,3
217,8,5,9
218,7,5,9
219,2,4,2
220,6,6,3
221,1,5,10
222,9,5,10
223,9,4,6
224,2,6,7
225,5,4,4
226,8,6,10
227,3,8,3
228,7,5,9
229,8,7,6
230,7,7,5
231,4,8,10
232,1,10,2
233,2,6,6
234,1,4,7
235,5,8,6
236,5,2,7
237,5,6,6
238,7,7,7
239,7,7,4
240,3,1,9
241,3,7,8
242,3,8,10
243,4,9,8
244,6,7,3
245,4,6,3
246,8,2,9
247,1,10,6
248,8,2,5
249,4,6,9
250,1,6,7
251,6,3,2
252,4,4,5
253,4,5,4
254,8,1,7
255,4,7,7
256,3,5,2
257,9,1,9
258,3,8,7
259,7,6,3
260,2,5,10
261,2,5,3
262,2,7,9
263,6,3,10
264,3,7,4
265,7,4,5
266,2,7,6
267,1,10,10
268,4,3,7
269,1,8,5
270,5,3,4
271,4,2,5
272,6,7,1
273,8,4,5
274,5,5,1
275,3,10,2
276,1,8,10
277,1,2,7
278,3,4,6
279,4,6,4
280,7,1,4
281,4,6,1
282,4,5,6
283,6,1,3
284,3,7,9
285,6,5,10
286,6,3,5
287,2,10,8
288,5,5,10
289,1,7,3
290,1,6,9
291,5,6,3
292,3,5,5
293,4,4,2
294,3,4,6
295,1,5,10
296,1,10,2
297,5,2,10
298,4,6,8
299,3,1,7
300,9,1,8
